City,Price,Number_Beds,Number_Baths,Median_Family_Income
Toronto,569000.0,1,1,97000.0
Toronto,1039000.0,3,1,97000.0
Toronto,1799000.0,4,4,97000.0
Toronto,899000.0,2,1,97000.0
Toronto,738000.0,2,1,97000.0
Toronto,619990.0,2,1,97000.0
Toronto,1150000.0,3,1,97000.0
Toronto,3495000.0,5,6,97000.0
Toronto,2588168.0,4,5,97000.0
Toronto,1699000.0,5,3,97000.0
Toronto,1250000.0,2,2,97000.0
Toronto,799999.0,2,2,97000.0
Toronto,2449000.0,4,4,97000.0
Toronto,1139900.0,3,3,97000.0
Toronto,1199000.0,6,4,97000.0
Toronto,719000.0,1,1,97000.0
Toronto,1499000.0,3,4,97000.0
Toronto,1599000.0,5,4,97000.0
Toronto,729000.0,2,2,97000.0
Toronto,1390000.0,3,2,97000.0
Toronto,558900.0,2,1,97000.0
Toronto,1799000.0,4,3,97000.0
Toronto,579900.0,1,1,97000.0
Toronto,1089000.0,3,2,97000.0
Toronto,865000.0,4,3,97000.0
Toronto,899900.0,4,2,97000.0
Toronto,599900.0,1,1,97000.0
Toronto,2495000.0,4,3,97000.0
Toronto,799000.0,2,1,97000.0
Toronto,549000.0,1,1,97000.0
Toronto,1190000.0,4,2,97000.0
Toronto,749900.0,2,1,97000.0
Toronto,625000.0,1,1,97000.0
Toronto,2799000.0,3,2,97000.0
Toronto,809000.0,2,2,97000.0
Toronto,779000.0,3,2,97000.0
Toronto,2750000.0,3,3,97000.0
Toronto,799000.0,3,2,97000.0
Toronto,679000.0,2,1,97000.0
Toronto,5899000.0,5,5,97000.0
Toronto,1200000.0,2,2,97000.0
Toronto,3999000.0,4,4,97000.0
Toronto,849900.0,3,2,97000.0
Toronto,649000.0,2,2,97000.0
Toronto,3500000.0,6,4,97000.0
Toronto,749000.0,2,1,97000.0
Toronto,2665000.0,6,5,97000.0
Toronto,915000.0,3,2,97000.0
Toronto,729888.0,2,1,97000.0
Toronto,819900.0,3,2,97000.0
Toronto,739000.0,2,2,97000.0
Toronto,3288000.0,6,5,97000.0
Toronto,850000.0,2,1,97000.0
Toronto,2028900.0,3,3,97000.0
Toronto,899888.0,4,3,97000.0
Toronto,1250000.0,5,3,97000.0
Toronto,836000.0,2,2,97000.0
Toronto,1499000.0,6,2,97000.0
Toronto,799888.0,1,1,97000.0
Toronto,850900.0,2,1,97000.0
Toronto,740900.0,2,2,97000.0
Toronto,685000.0,3,2,97000.0
Toronto,1029000.0,4,4,97000.0
Toronto,1250000.0,6,2,97000.0
Toronto,509990.0,2,1,97000.0
Toronto,928000.0,2,2,97000.0
Toronto,2080000.0,4,3,97000.0
Toronto,915900.0,2,2,97000.0
Toronto,1650000.0,3,3,97000.0
Toronto,499800.0,2,1,97000.0
Toronto,1199900.0,3,3,97000.0
Toronto,849000.0,2,2,97000.0
Toronto,718000.0,2,1,97000.0
Toronto,818000.0,2,2,97000.0
Toronto,685000.0,1,1,97000.0
Toronto,1039000.0,2,3,97000.0
Toronto,738000.0,2,2,97000.0
Toronto,799000.0,2,2,97000.0
Toronto,929000.0,4,3,97000.0
Toronto,1090000.0,4,2,97000.0
Toronto,979000.0,3,3,97000.0
Toronto,948800.0,4,3,97000.0
Toronto,2379000.0,6,7,97000.0
Toronto,839999.0,2,2,97000.0
Toronto,1795000.0,3,1,97000.0
Toronto,649800.0,2,2,97000.0
Toronto,1149900.0,2,3,97000.0
Toronto,12750000.0,4,7,97000.0
Toronto,699800.0,2,1,97000.0
Toronto,3798000.0,5,5,97000.0
Toronto,699900.0,2,2,97000.0
Toronto,1250000.0,4,3,97000.0
Toronto,1449000.0,5,4,97000.0
Toronto,519888.0,2,1,97000.0
Toronto,1189000.0,3,2,97000.0
Toronto,618900.0,2,1,97000.0
Toronto,565000.0,1,1,97000.0
Toronto,545000.0,1,1,97000.0
Toronto,1345000.0,4,2,97000.0
Toronto,1999000.0,3,3,97000.0
Toronto,1100000.0,2,2,97000.0
Toronto,2199888.0,6,4,97000.0
Toronto,2229000.0,4,2,97000.0
Toronto,689000.0,2,2,97000.0
Toronto,1138000.0,2,2,97000.0
Toronto,725000.0,2,2,97000.0
Toronto,609999.0,2,1,97000.0
Toronto,599000.0,1,1,97000.0
Toronto,1060000.0,7,5,97000.0
